sentiment,text,user,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,JailaniKodier,
neutral,"RT @MDR_O80G2I: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",AndreNasda,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,f_purwatmo,
neutral,"@tempemendoanGL @RamliRizal Mrk ingin mengubah sejarah hanya untuk menjatuhkan seorang Jokowi,setelah isu TKA,utang… https://t.co/EsUWcv7MLO",Iwan81833715,
neutral,RT @vita_AVP: Segala daya dan upaya dilakukan utk mendiskreditkan presiden @jokowi dan keluarganya dng isu PKI. Tdk peduli dosa yg penting…,pagarbesi44,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,Eddoludwig1,
neutral,"RT @MDR_O80G2I: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",setyosby,
neutral,"@haikal_hassan Ini bukti klu Gust Allah mboten sare, membuka borok sendiri...mendewarakan ke seluruh negeri, siapa… https://t.co/BbXsrSEy0t",Dediteulih_2016,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",moerwp
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,eko63691,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",AnnisaK03107740
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,onielectra,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,Dediteulih_2016,
neutral,"RT @AnginLa49997994: NEO PKI MENYUSUP KE NU &amp; BANSER ⁉️\n\n1. NU &amp; PKI mesra :\n\n https://t.co/YESwEsCnYA\n\n2. Ketum GP Ansor : \PKI Itu Tidak…""",farel_is,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",RahmanSy2
neutral,"RT @MDR_O80G2I: Anak² Yg Tumbuh Pasca-reform.\nSdh Tdk Mendapatkan Pelajaran  Pemberontakan G30S PKI. \n\Sarjana Yg Lulus 3 — 4Th Belakangan…""",AsepW83497854,
neutral,RT @noeruzzaman: 3. PKI selalu jd isu tahunan bisanya 30 september atau kalau ada kepentingan politik tertentu dan semua org berani terbuka…,Dodo42323886,
negative,"RT @noeruzzaman: 4. Sama2 anti neoliberal/kapitalisme dan selalu menggunakn isu ini sebagai propaganda. 5. Sudah di bubarkan dr NKRI, PKI m…",Dodo42323886,
neutral,RT @DTanjung15: Apa kabar Jongos2 bayaran Keturunan Orba\nMereka Gobloknya minta Ampun\nSibuk menyebar isu PKi dan tampilkan atribut PKI\nTapi…,wardoyo_al,
neutral,@haikal_hassan Gerombolan pecundang kaya lu udah 7 Tahun pake isu pki tapi ga ampuh juga. Makanya lu bingung mau pake isu apalagi kan?,PermadiFahri,
negative,"RT @HMSoeharto1921: Mencuatnya isu \Pak Harto PKI\"""," ke permukaan publik itu pertanda baik. Tanda kaum kiri kehabisan stok isu. Propaganda i…""",Wawan31941702
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,herwatoe,
neutral,RT @WahabisLokal: (Gatot) PKI\n\nAlias\nKadrun Gagal Total angkat isu PKI\nNetizen ruaaar biasah👍\nBegitu hebat dan cerdas membendung kebuzukan…,hate_HTi,
